iso3,year,indicator,domain,direction,value,z
AUS,2002,political_stability,Safety,up,1.0955179,0.34402982344847444
AUS,2002,gini,Equality,down,33.5,-0.4425318964272881
AUS,2002,gdi,Equality,up,0.958,-0.8029743352112358
AUS,2002,top_10_income,Equality,down,25.1,-0.14313201926472766
AUS,2002,vdem_libdem,Freedom,up,0.838,0.5496644655671455
AUS,2002,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,2002,corruption,Freedom,up,85.0,0.9530396643695714
AUS,2002,civil_liberties,Freedom,up,0.952,0.383041793576417
AUS,2002,work_hours,Work,down,1697.8,0.12568645493338998
AUS,2002,unemployment,Work,down,6.375,0.13849836369547558
AUS,2002,employment,Work,up,59.459,0.3125019023309243
AUS,2002,pm25,Environment,down,6.39048299480691,1.253300427565173
AUS,2002,co2_pc,Environment,down,18.495451,-2.444568468148544
AUS,2002,renewable,Environment,up,1.5674161,-0.5741562382341687
AUS,2002,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,2002,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,2002,adolescent_fert,Wellbeing,down,17.238,-0.48849121629790243
AUS,2003,gdp_pc,Material,up,47581.2285345879,-0.04715335744006995
AUS,2003,household_cons,Material,up,25858.107455667,0.7759934752956196
AUS,2003,broadband,Material,up,2.60753903715006,-0.9924165945262097
AUS,2003,life_expectancy,Health,up,80.2390243902439,0.3755840643025124
AUS,2003,infant_mort,Health,down,4.9,-0.15374368552818224
AUS,2003,maternal_mort,Health,down,5.0,0.7075224262894699
AUS,2003,child_mort,Health,down,5.9,-0.12715850525176112
AUS,2003,schooling,Knowledge,up,11.574,0.07994649219528316
AUS,2003,tertiary_attain,Knowledge,up,20.4715081316108,-0.5051294554545619
AUS,2003,internet_users,Knowledge,up,57.84463321551975,0.12315666415823864
AUS,2003,research_dev,Knowledge,up,1.79728,-0.21274483740187397
AUS,2003,homicides,Safety,down,1.52375535865531,0.1243135914059758
AUS,2003,suicide,Safety,down,11.08,0.6018330200277779
AUS,2003,road_deaths,Safety,down,8.5,0.13718071862334003
AUS,2003,political_stability,Safety,up,0.9329389,0.019813189080246114
